番号,回答
1,和歌山県橋本市橋本1丁目1030
2,2000万円
3,45名
4,平野　聖太郎
5,葬儀の運営・施工　会館葬・自宅葬・社葬・家族葬　仏事の相談事前相談・アフターフォロー　運送事業一般貨物（霊柩）自動車運送事業 生花販売　多種多様なお花の販売
6,24時間　365日　受付　0120-424-278
7,1市脇会館　2小原田会館　3小原田別館
8,和歌山県橋本市市脇4-8-10　1階と2階のホールがあります
9,和歌山県橋本市小原田477-2
10,和歌山県橋本市小原田477-2
11,和歌山県橋本市三石台1-3-1（フォレストはしもと内）
12,全てを兼ね備えた総合型式場　親族様＋親戚様＋参列者様　30名〜大人数　https://www.hanahira.jp/about_funeral/#ichiwaki01　駐車場約200台
13,お花でおくる家族メインの葬儀式場　親族様＋親戚様＋参列者様　少人数〜50名　https://www.hanahira.jp/about_funeral/#ichiwaki02　駐車場200台
14,小規模葬儀　https://www.hanahira.jp/about_funeral/#oharatah
15,家族葬儀　https://www.hanahira.jp/about_funeral/#oharatab
16,橋本市　かつらぎ町　九度山町　高野町
17,090-7498-7152
18,0736-00-0000
19,0736-00-0000
20,0736-00-0000
21,
22,
23,
24,
25,
26,
27,
28,藤井
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,電話、ご自宅へお伺いします
51,葬儀会館と葬儀規模によってご予算が変わります。
52,①手順、②手順、➂手順で行います。
53,①手順、②手順、➂手順で行います。
54,こちらのURLをご案内ください。XXXXXXXXXXXXXXX
55,葬儀価格表を参照ください。
56,こちらのURLをご案内ください。XXXXXXXXXXXXXXX
57,社内PCの共通フォルダを確認ください。
58,担当の○○さんへ確認ください。電話番号000-0000-0000
59,担当の○○さんへ確認ください。電話番号000-0000-0000
60,お名前を伺ってください。それぞれの葬儀に担当者が付いております。
61,担当の○○さんへ確認ください。電話番号000-0000-0000
62,担当の○○さんへ確認ください。電話番号000-0000-0001
63,担当の○○さんへ確認ください。電話番号000-0000-0002
64,担当の○○さんへ確認ください。電話番号000-0000-0003
65,本社の経理担当へ連絡ください。
66,本社の経理担当へ連絡ください。
67,本社の経理担当へ連絡ください。
68,本社の経理担当へ連絡ください。
69,本社の経理担当へ連絡ください。
70,本社の経理担当へ連絡ください。
71,本社の経理担当へ連絡ください。
72,本社の経理担当へ連絡ください。
73,本社の経理担当へ連絡ください。
74,担当の○○さんへ確認ください。電話番号000-0000-0013
75,担当の○○さんへ確認ください。電話番号000-0000-0014
76,担当の○○さんへ確認ください。電話番号000-0000-0015
77,担当の○○さんへ確認ください。電話番号000-0000-0016
78,担当の○○さんへ確認ください。電話番号000-0000-0017
79,担当の○○さんへ確認ください。電話番号000-0000-0018
80,担当の○○さんへ確認ください。電話番号000-0000-0019
81,担当の○○さんへ確認ください。電話番号000-0000-0020
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
