カテゴリ,情報
1. 基本情報,会社概要（理念・ビジョン、沿革）
,事業内容（葬儀、供養、法要、仏具販売など）
,主要取引先・提携寺院・霊園情報
2. 連絡先,代表電話・メール
,各拠点・斎場の連絡先
,部署別・役職別の内線・担当者一覧
3. 役割,葬祭ディレクター、営業、事務、受付などの役割分担
,各業務の責任範囲
,緊急時の対応責任者
4. 業務手順・業務フロー,受注から施行までの流れ
,喪主・遺族との打ち合わせ手順
,火葬場・霊園・寺院の手配方法
,各宗派ごとの儀式の違い
5. 葬儀プラン・商品,直葬、家族葬、一般葬、大型葬の違い
,祭壇・供花・供物の種類と価格
,追加オプションの案内方法
,法要・供養サービスの詳細
6. 顧客対応,初回問い合わせ時の対応マニュアル
,事前相談（生前契約）の対応
,クレーム・トラブル対応手順
,喪主・遺族へのアフターサポート
7. 緊急対応,深夜・早朝の搬送手配
,病院・警察・施設からの遺体搬送の流れ
,自然災害や事故による葬儀日程変更対応
,急なトラブル発生時の連絡先と対処法
8. 式場・斎場の管理,会場予約・設備管理
,会場レイアウト・設営準備
,供花・供物の配置ルール
,清掃・消毒・衛生管理
9. システム・ITツール,葬儀管理システムの使い方
,顧客管理（CRM）ツールの操作方法
,受発注システムの利用方法
,Web予約システムの管理
10. 総務,車両管理（霊柩車・搬送車）
,制服・備品の管理
,斎場・休憩室の利用ルール
,各種申請（鍵の貸出、備品補充など）
11. 経理,費用請求・精算の手順
,見積書・請求書の発行方法
,経費申請・領収書管理
,法人契約・提携先との支払いフロー
12. 労務・人事,勤務シフトの確認・申請方法
,休暇・有給取得ルール
,研修・資格取得支援制度（葬祭ディレクター資格など）
,人事評価・昇給・昇格基準
13. 法務・コンプライアンス,個人情報保護（遺族情報の管理）
,契約書・重要書類の管理ルール
,宗教・宗派に関する対応ガイドライン
,許認可・法規制の確認方法
14. 広報・PR,社内報・ニュースレター
,SNS・ウェブサイトの更新手順
,メディア対応のルール
,プレスリリースの発信方法
15. 社内イベント・社内交流,社内行事（忘年会・新年会・社員旅行）
,社員総会・表彰制度
,部活動・サークル活動の案内
16. 設備・インフラ,オフィス・斎場の入退室管理
,防犯・防災設備の使用方法
,社内Wi-Fiやプリンターの利用方法
,机やロッカーの利用ルール
17. 新入社員向け情報,入社時の手続き（書類提出・ID発行）
,初日の流れ・オリエンテーション情報
,業務で使用するツール・システムのセットアップ
,研修スケジュール・トレーナーの情報
18. 社外住所,提携寺院・霊園の住所
,火葬場・納骨堂の住所
,提携病院・介護施設の情報
19. 社外連絡先,取引先企業（花屋、仕出し業者、仏壇店など）
,遺族相談窓口（弁護士、税理士、行政書士）
,自治体・役所の担当部署（死亡届・埋葬許可申請など）
20. 社外担当者,提携僧侶・宗教者の連絡先
,火葬場・霊園の担当者
,法律・税務アドバイザー（相続手続きなど）
